demographics_term,student_ID,major_term,course_prefix,course_number,course_suffix,course_credits,course_grade_letter
201008,82,CHM,PSYC,1101,,3.0,C+
201008,82,CHM,PHIL,1010,,2.0,B
201008,82,CHM,MATH,1111,,3.0,B
201008,82,CHM,GSU,1010,,1.0,B
201008,78,BIO,MATH,1113,,3.0,A-
201008,78,BIO,PSYC,1101,,3.0,B+
201008,78,BIO,ENGL,1101,,3.0,A
201008,78,BIO,PHIL,2010,,3.0,C
201008,78,BIO,CHEM,1050,,3.0,A-
201008,79,CHM,CHEM,1211,K,4.0,B
201008,79,CHM,ENGL,1101,,3.0,B
201008,79,CHM,MATH,1111,,3.0,B
201008,79,CHM,HIST,2110,,3.0,C
201008,79,CHM,POLS,1101,,3.0,D
201008,66,PSY,HIST,2110,,3.0,A+
201008,66,PSY,GSU,1010,,1.0,A+
201008,66,PSY,PERS,2001,,2.0,A
201008,66,PSY,CSC,1010,,3.0,A
201008,66,PSY,ENGL,1101,,3.0,A-
201008,66,PSY,POLS,1101,,3.0,B-
201008,64,CHM,CHEM,1211,K,4.0,B
201008,64,CHM,ENGL,1101,,3.0,C+
201008,64,CHM,HIST,2110,,3.0,C+
201008,64,CHM,MATH,1113,,3.0,B-
201008,64,CHM,PHIL,1010,,2.0,B+
201008,63,PSY,ENGL,1101,,3.0,A
201008,63,PSY,HIST,2110,,3.0,A
201008,63,PSY,POLS,1101,,3.0,B-
201008,63,PSY,GSU,1010,,1.0,A
201008,63,PSY,CRJU,2200,,3.0,A+
201008,62,BIO,MATH,1111,,3.0,C+
201008,62,BIO,GSU,1010,,1.0,C-
201008,62,BIO,ENGL,1101,,3.0,A-
201008,62,BIO,PERS,2002,,2.0,C-
201008,62,BIO,CSC,1010,,3.0,C
201008,62,BIO,BIOL,1103,K,4.0,C
201008,61,CHM,ENGL,1103,,3.0,A
201008,61,CHM,MATH,2212,,4.0,A
201008,61,CHM,GSU,1010,,1.0,A
201008,61,CHM,CHEM,1211,K,4.0,A
201008,61,CHM,HON,1000,,1.0,S
201008,60,PSY,SOCI,1101,,3.0,A+
201008,60,PSY,MATH,1101,,3.0,A
201008,60,PSY,POLS,2401,,3.0,B-
201008,60,PSY,ENGL,1101,,3.0,A-
201008,60,PSY,PERS,2001,,2.0,B+
201008,60,PSY,GSU,1010,,1.0,A
201008,77,CHM,ENGL,1101,,3.0,A-
201008,77,CHM,CHEM,1211,K,4.0,B-
201008,77,CHM,PSYC,1101,,3.0,C
201008,77,CHM,PHIL,1010,,2.0,B
201008,77,CHM,MATH,1113,,3.0,B-
201008,76,BIO,BIOL,2300,,3.0,B+
201008,76,BIO,ENGL,1101,,3.0,A-
201008,76,BIO,MATH,1113,,3.0,B
201008,76,BIO,GSU,1010,,1.0,A-
201008,76,BIO,PHIL,1010,,2.0,B
201008,76,BIO,PSYC,1101,,3.0,B-
201008,80,BIO,ENGL,1101,,3.0,A
201008,80,BIO,HIST,2110,,3.0,B-
201008,80,BIO,GSU,1010,,1.0,A-
201008,80,BIO,CHEM,1211,K,4.0,B
201008,80,BIO,PHIL,1010,,2.0,B+
201008,80,BIO,MATH,1113,,3.0,A-
201008,84,PSY,GEOL,1121,K,4.0,B
201008,84,PSY,ENGL,1101,,3.0,A-
201008,84,PSY,SCOM,1000,,2.0,A+
201008,84,PSY,MATH,1101,,3.0,A
201008,84,PSY,PSYC,1101,,3.0,B
201008,129,BIO,PT,3660,,3.0,A
201008,129,BIO,BIOL,2800,,2.0,B
201008,129,BIO,ARBC,1001,,4.0,A
201008,129,BIO,HIST,2110,,3.0,A-
201008,133,PSY,SCOM,2050,,3.0,B
201008,133,PSY,PERS,2001,,2.0,A+
201008,133,PSY,GSU,1010,,1.0,A
201008,133,PSY,HIST,2110,,3.0,B
201008,133,PSY,SOCI,1160,,3.0,B
201008,133,PSY,POLS,2401,,3.0,B
201008,127,CHM,ECON,2100,,3.0,B+
201008,127,CHM,POLS,1101,,3.0,B
201008,127,CHM,PHIL,2010,,3.0,B
201008,127,CHM,ENGL,1101,,3.0,A-
201008,127,CHM,GSU,1010,,1.0,A
201008,127,CHM,PERS,2001,,2.0,A-
201008,123,BIO,PSYC,1101,,3.0,D
201008,123,BIO,ENGL,1101,,3.0,B
201008,123,BIO,MATH,1113,,3.0,B
201008,123,BIO,PHIL,1010,,2.0,B+
201008,123,BIO,BIOL,2300,,3.0,C+
201008,141,BIO,HIST,1111,,3.0,C-
201008,141,BIO,PHIL,1010,,2.0,D
201008,141,BIO,MATH,1113,,3.0,F
201008,140,BIO,AH,1750,,3.0,B-
201008,140,BIO,PHIL,1010,,2.0,B+
201008,140,BIO,BIOL,3840,,3.0,C
201008,140,BIO,BIOL,3800,,3.0,C
201008,140,BIO,HHS,2010,,3.0,A
201008,143,PSY,PHIL,1010,,2.0,F
201008,143,PSY,KORE,1001,,3.0,A
201008,143,PSY,MATH,2212,,4.0,W
201008,143,PSY,BIOL,1103,K,4.0,B-
201008,143,PSY,GSU,1010,,1.0,F
201008,147,BIO,PSYC,1101,,3.0,A+
201008,147,BIO,ENGL,1101,,3.0,A
201008,147,BIO,PERS,2001,,2.0,A
201008,147,BIO,POLS,2401,,3.0,A+
201008,147,BIO,MATH,99,,4.0,A%
201008,147,BIO,GSU,1010,,1.0,A+
201008,146,PSY,POLS,1101,,3.0,C
201008,146,PSY,SOCI,1101,,3.0,F
201008,146,PSY,GSU,1010,,1.0,B+
201008,146,PSY,PERS,2001,,2.0,B
201008,146,PSY,ENGL,1101,,3.0,B-
201008,146,PSY,CSC,1010,,3.0,A
201008,156,CHM,ENGL,1101,,3.0,C
201008,156,CHM,GSU,1010,,1.0,A
201008,156,CHM,CPS,2500,,3.0,A
201008,156,CHM,THEA,2040,,3.0,C
201008,156,CHM,PSYC,1101,,3.0,C+
201008,156,CHM,HIST,2110,,3.0,C
201008,155,PSY,CSC,1310,,3.0,B+
201008,155,PSY,PSYC,3140,,3.0,B
201008,155,PSY,HIST,1111,,3.0,A-
201008,155,PSY,ANTH,1102,,3.0,B+
201008,162,CHM,ENGL,1102,,3.0,A
201008,162,CHM,MATH,2211,,4.0,B
201008,163,CHM,PHIL,1010,,2.0,B
201008,163,CHM,CHEM,4600,,5.0,A-
201008,210,BIO,SCOM,1000,,2.0,B
201008,210,BIO,HIST,2110,,3.0,B+
201008,210,BIO,PSYC,1101,,3.0,B
201008,210,BIO,PHIL,1010,,2.0,C-
201008,210,BIO,HIST,1112,,3.0,C+
201008,218,BIO,SCOM,1000,,2.0,B+
201008,218,BIO,PHIL,1010,,2.0,C
201008,218,BIO,HIST,1111,,3.0,B+
201008,218,BIO,POLS,1101,,3.0,D
201008,218,BIO,BIOL,2107,K,4.0,B
201101,25,BIO,ACCT,2102,,3.0,W
201101,25,BIO,MGS,3100,,3.0,C+
201101,25,BIO,SOCI,3101,,3.0,B+
201101,25,BIO,BUSA,3000,,3.0,B-
201101,25,BIO,MK,3010,,3.0,B
201101,58,PSY,HIST,1112,,3.0,A+
201101,58,PSY,PSYC,3510,,4.0,C+
201101,58,PSY,PSYC,2040,,3.0,B+
201101,58,PSY,AAS,2010,,3.0,B-
201101,18,PSY,PSYC,4020,,3.0,B+
201101,18,PSY,PSYC,4160,,3.0,B+
201101,18,PSY,PSYC,3510,,4.0,B
201101,18,PSY,PSYC,3110,,3.0,B-
201101,6,PSY,SOCI,3222,,3.0,B+
201101,6,PSY,PSYC,4040,,3.0,B
201101,6,PSY,SOCI,3101,,3.0,B-
201101,6,PSY,PSYC,4300,,3.0,B
201101,12,BIO,BIOL,2300,,3.0,W
201101,12,BIO,POLS,1101,,3.0,B-
201101,12,BIO,GRMN,1001,,3.0,A-
201101,12,BIO,FLME,1010,,3.0,A-
201101,35,CHM,CHEM,3110,,2.0,B
201101,35,CHM,CHEM,3410,,4.0,C+
201101,35,CHM,THEA,2210,,3.0,B+
201101,35,CHM,SOCI,3156,,3.0,A
201101,35,CHM,SPAN,2203,,3.0,B
201101,37,BIO,HIST,1111,,3.0,A
201101,37,BIO,PHYS,1111,K,4.0,A-
201101,37,BIO,PHIL,1010,,2.0,A-
201101,37,BIO,BIOL,2108,K,4.0,A-
201101,31,PSY,PHIL,2010,,3.0,C+
201101,31,PSY,PSYC,4020,,3.0,B
201101,31,PSY,PSYC,4520,,3.0,C
201101,31,PSY,BIOL,1103,K,4.0,C
201101,56,BIO,PHYS,1111,K,4.0,A-
201101,56,BIO,BIOL,3840,,3.0,A-
201101,56,BIO,BIOL,3810,,3.0,B
201101,56,BIO,BIOL,3800,,3.0,A+
201101,56,BIO,PHIL,1010,,2.0,A-
201101,111,PSY,MATH,1113,,3.0,B
201101,111,PSY,ENGL,1102,,3.0,A
201101,111,PSY,POLS,1101,,3.0,A-
201101,111,PSY,PSYC,1101,,3.0,A-
201101,111,PSY,HIST,2110,,3.0,A
201101,117,BIO,CHEM,1212,K,4.0,B
201101,117,BIO,ENGL,1102,,3.0,A-
201101,117,BIO,PSYC,1101,,3.0,B-
201101,117,BIO,BIOL,2107,K,4.0,C+
201101,121,PSY,MATH,1070,,3.0,B+
201101,121,PSY,ENGL,1102,,3.0,A-
201101,121,PSY,BUSA,2106,,3.0,W
201101,121,PSY,ACCT,2101,,3.0,B
201101,152,PSY,PSYC,4400,,3.0,B+
201101,152,PSY,PSYC,3510,,4.0,B-
201101,152,PSY,PSYC,4020,,3.0,B+
201101,152,PSY,PSYC,3520,,3.0,A
201101,149,CHM,MATH,1101,,3.0,B-
201101,149,CHM,BIOL,2310,,1.0,A
201101,149,CHM,ENGL,1102,,3.0,A+
201101,149,CHM,CHEM,1152,K,4.0,F
201101,149,CHM,PERS,2002,,2.0,B+
201101,150,CHM,BIOL,2107,K,4.0,B-
201101,150,CHM,MUA,1059,,1.0,A
201101,150,CHM,MATH,2212,,4.0,D
201101,150,CHM,POLS,1101,,3.0,C
201101,150,CHM,ENGL,1102,,3.0,A-
201101,150,CHM,SPAN,2001,,3.0,B+
201101,151,BIO,PSYC,1101,,3.0,B
201101,151,BIO,CHEM,1211,K,4.0,B
201101,151,BIO,ENGL,1102,,3.0,A
201101,151,BIO,MATH,1113,,3.0,C
201101,151,BIO,SCOM,1000,,2.0,A-
201101,137,NUR,SCOM,1000,,2.0,A+
201101,137,NUR,SCOM,2050,,3.0,A
201101,137,NUR,ENGL,1102,,3.0,A-
201101,137,NUR,HIST,2110,,3.0,A-
201101,137,NUR,CHEM,1151,K,4.0,B
201101,136,NUR,CHEM,1152,K,4.0,A
201101,136,NUR,ENGL,1102,,3.0,A
201101,136,NUR,BIOL,1110,K,4.0,A
201101,136,NUR,SCOM,1000,,2.0,A+
201101,135,PSY,PSYC,1100,,3.0,A
201101,135,PSY,SCOM,2050,,3.0,A-
201101,135,PSY,HIST,2110,,3.0,B+
201101,135,PSY,SCOM,1000,,2.0,A-
201101,135,PSY,ENGL,1102,,3.0,C
201101,134,CHM,SCOM,2050,,3.0,A-
201101,134,CHM,CHEM,1212,K,4.0,B-
201101,134,CHM,THEA,2040,,3.0,A
201101,134,CHM,PSYC,1101,,3.0,B+
201101,134,CHM,ENGL,1102,,3.0,A-
201101,139,BIO,SPAN,1001,,3.0,C+
201101,139,BIO,POLS,1101,,3.0,C-
201101,139,BIO,ENGL,1102,,3.0,B
201101,139,BIO,PERS,2002,,2.0,B
201101,139,BIO,MATH,99,,4.0,F%
201101,139,BIO,HIST,1111,,3.0,B
201101,101,BIO,BIOL,1103,K,4.0,A
201101,101,BIO,PHYS,1112,K,4.0,A
201101,101,BIO,MATH,2211,,4.0,C
201101,101,BIO,ENGL,1102,,3.0,A
201101,104,HIS,ASTR,1010,,4.0,A-
201101,104,HIS,SCOM,1000,,2.0,A+
201101,104,HIS,PSYC,1101,,3.0,A
201101,104,HIS,RELS,2001,,3.0,A+
201101,104,HIS,POLS,1101,,3.0,A-
201101,105,PSY,PSYC,3110,,3.0,C+
201101,105,PSY,HIST,1112,,3.0,C+
201101,105,PSY,SOCI,1160,,3.0,C
201101,105,PSY,PORT,1001,,3.0,A-
201101,103,PSY,CSC,1010,,3.0,A
201101,103,PSY,SOCI,1101,,3.0,A
201101,103,PSY,FLME,2700,,3.0,A-
201101,103,PSY,SCOM,1000,,2.0,A
201101,103,PSY,ENGL,1102,,3.0,B+
201101,107,BIO,CHEM,1152,K,4.0,B-
201101,107,BIO,ENGL,1102,,3.0,B+
201101,107,BIO,PSYC,1101,,3.0,B+
201101,107,BIO,SCOM,1000,,2.0,B+
201101,107,BIO,BIOL,2300,,3.0,W
201101,106,CHM,PHIL,1010,,2.0,B
201101,106,CHM,SCOM,2050,,3.0,A-
201101,106,CHM,MATH,1070,,3.0,B-
201101,106,CHM,SPAN,1001,,3.0,C+
201101,106,CHM,ENGL,1102,,3.0,A
201101,91,BIO,BIOL,2800,,2.0,B-
201101,91,BIO,ENGL,1102,,3.0,B-
201101,91,BIO,MUA,1900,,3.0,B-
201101,91,BIO,PHYS,1111,K,4.0,C+
201101,91,BIO,CHEM,1212,K,4.0,B
201101,95,BIO,PERS,2001,,2.0,A
201101,95,BIO,CHEM,1211,K,4.0,B+
201101,95,BIO,ENGL,1102,,3.0,A-
201101,95,BIO,MATH,1113,,3.0,B
201101,94,BIO,HIST,2110,,3.0,A
201101,94,BIO,FLME,2700,,3.0,C-
201101,94,BIO,BIOL,2300,,3.0,D
201101,94,BIO,ENGL,1102,,3.0,A
201101,94,BIO,CHEM,1211,K,4.0,A-
201101,96,BIO,ENGL,1102,,3.0,A
201101,96,BIO,MATH,99,,4.0,B%
201101,96,BIO,SCOM,1000,,2.0,A-
201101,96,BIO,SCOM,2050,,3.0,B+
201101,96,BIO,SPAN,4403,,3.0,B+
201101,90,PSY,POLS,1101,,3.0,C
201101,90,PSY,PSYC,1101,,3.0,B
201101,90,PSY,SOCI,1101,,3.0,A+
201101,90,PSY,CHEM,1212,K,4.0,B-
201101,90,PSY,PERS,2002,,2.0,A
201101,88,PSY,FLME,4780,,4.0,B-
201101,88,PSY,ENGL,1102,,3.0,A-
201101,88,PSY,PSYC,2070,,3.0,A-
201101,88,PSY,RT,1010,,2.0,A
201101,87,CHM,ENGL,1102,,3.0,A
201101,87,CHM,CHEM,1212,K,4.0,B
201101,87,CHM,ECON,2105,,3.0,B
201101,87,CHM,MATH,1113,,3.0,C
201101,87,CHM,RELS,2001,,3.0,B-
201101,86,BIO,BIOL,2300,,3.0,A
201101,86,BIO,BIOL,3880,,3.0,B
201101,86,BIO,PERS,2002,,2.0,A-
201101,86,BIO,BIOL,3900,,3.0,B-
201101,92,BIO,MATH,99,,4.0,C+%
201101,92,BIO,SCOM,1000,,2.0,A-
201101,92,BIO,POLS,1101,,3.0,A-
201101,92,BIO,PHIL,2010,,3.0,B+
201101,97,BIO,POLS,1101,,3.0,W
201101,97,BIO,PSYC,1101,,3.0,A-
201101,97,BIO,PERS,2001,,2.0,C
201101,97,BIO,ENGL,2110,,3.0,A-
201101,98,BIO,BIOL,2800,,2.0,A
201101,98,BIO,PERS,2001,,2.0,A
201101,98,BIO,ENGL,1102,,3.0,A-
201101,98,BIO,PSYC,1101,,3.0,B+
201101,98,BIO,CHEM,1212,K,4.0,B+
201101,98,BIO,HIST,1111,,3.0,A
201101,71,PSY,ENGL,1102,,3.0,C
201101,71,PSY,SCOM,1000,,2.0,B
201101,71,PSY,THEA,2040,,3.0,B
201101,71,PSY,AAS,1140,,3.0,C
201101,71,PSY,PSYC,1101,,3.0,B-
201101,82,BIO,POLS,2401,,3.0,B+
201101,82,BIO,MATH,1113,,3.0,B
201101,82,BIO,SCOM,1000,,2.0,A
201101,82,BIO,ENGL,1102,,3.0,A
201101,82,BIO,PHIL,2010,,3.0,C-
201101,78,BIO,ENGL,1102,,3.0,B+
201101,78,BIO,RELS,2001,,3.0,A
201101,78,BIO,CHEM,1211,K,4.0,A-
201101,78,BIO,MATH,1070,,3.0,A-
201101,78,BIO,POLS,1101,,3.0,B
201101,79,CHM,CHEM,1212,K,4.0,W
201101,79,CHM,ENGL,1102,,3.0,B
201101,79,CHM,MATH,1113,,3.0,B
201101,79,CHM,PERS,2001,,2.0,A
201101,79,CHM,MUA,3930,,3.0,A-
201101,66,PSY,MATH,1111,,3.0,A-
201101,66,PSY,ANTH,1102,,3.0,A-
201101,66,PSY,PHIL,2010,,3.0,B+
201101,66,PSY,ENGL,1102,,3.0,B+
201101,66,PSY,CHEM,1211,K,4.0,A
201101,64,CHM,CHEM,1212,K,4.0,B-
201101,64,CHM,MATH,2211,,4.0,W
201101,64,CHM,PERS,2001,,2.0,A
201101,64,CHM,ENGL,1102,,3.0,B
201101,64,CHM,POLS,1101,,3.0,B
201101,63,PSY,ENGL,1102,,3.0,A
201101,63,PSY,MATH,1101,,3.0,A+
201101,63,PSY,PERS,2001,,2.0,A
201101,63,PSY,GEOG,1113,,4.0,B
201101,63,PSY,SCOM,2050,,3.0,B
201101,62,BIO,SCOM,1000,,2.0,B-
201101,62,BIO,ENGL,1102,,3.0,D
201101,62,BIO,FLME,2700,,3.0,C
201101,62,BIO,BIOL,1104,K,4.0,D
201101,61,CHM,CHEM,4950,,1.0,A
201101,61,CHM,MUA,1930,,3.0,A-
201101,61,CHM,SCOM,1000,,2.0,A-
201101,61,CHM,PHYS,2211,K,4.0,A-
201101,61,CHM,CHEM,1212,K,4.0,B
201101,61,CHM,PERS,2001,,2.0,A+
201101,60,PSY,SCOM,1000,,2.0,A+
201101,60,PSY,PSYC,1101,,3.0,B+
201101,60,PSY,ENGL,1102,,3.0,A+
201101,60,PSY,BIOL,1103,K,4.0,B+
201101,60,PSY,HIST,2110,,3.0,A-
201101,77,CHM,MATH,2211,,4.0,C+
201101,77,CHM,PERS,2002,,2.0,B
201101,77,CHM,ECON,2100,,3.0,C
201101,77,CHM,CHEM,1212,K,4.0,C
201101,77,CHM,ENGL,1102,,3.0,B+
201101,76,BIO,POLS,1101,,3.0,B+
201101,76,BIO,ENGL,1102,,3.0,B
201101,76,BIO,SCOM,1000,,2.0,B+
201101,76,BIO,PHYS,1111,K,4.0,A-
201101,76,BIO,ECON,2100,,3.0,A-
201101,80,BIO,ENGL,1102,,3.0,A+
201101,80,BIO,BIOL,2107,K,4.0,B
201101,80,BIO,BIOL,2300,,3.0,B
201101,80,BIO,PERS,2001,,2.0,A+
201101,80,BIO,POLS,1101,,3.0,B
201101,80,BIO,MATH,1070,,3.0,A-
201101,84,PSY,FLME,2700,,3.0,B+
201101,84,PSY,ENGL,1102,,3.0,W
201101,84,PSY,GEOL,1122,K,4.0,B-
201101,84,PSY,HIST,2110,,3.0,B+
201101,84,PSY,PHIL,2010,,3.0,A-
