student_ID,demographics_term,semester_number,term_earliest,academic_year,major_term,major_term_earliest,major_graduation,graduation_level,graduation_status,graduation_date,graduation_date_bachelors,student_level,transfer_hours_term,flag_transfer,max_course_term,major_term_name
6,201108,1,201008,2012,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('8/7/2012',)",2012-08-07,US,91.0,1,201208,Psychology
6,201201,2,201008,2012,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('8/7/2012',)",2012-08-07,US,91.0,1,201208,Psychology
6,201208,3,201008,2013,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('8/7/2012',)",2012-08-07,US,91.0,1,201208,Psychology
7,201305,1,201305,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,46.0,1,201305,Psychology
8,201305,1,201305,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,124.0,1,201508,Biology
8,201308,2,201305,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,124.0,1,201508,Biology
8,201401,3,201305,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,124.0,1,201508,Biology
8,201408,4,201305,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,124.0,1,201508,Biology
8,201505,5,201305,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,124.0,1,201508,Biology
8,201508,6,201305,2016,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,124.0,1,201508,Biology
9,201205,1,201205,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,39.0,1,201301,Biology
9,201301,2,201205,2013,ART,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,39.0,1,201301,Other
10,201108,1,201108,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201201,2,201108,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201208,3,201108,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201301,4,201108,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201308,5,201108,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201401,6,201108,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201408,7,201108,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201501,8,201108,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201508,9,201108,2016,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
10,201601,10,201108,2016,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,62.0,1,201601,Biology
11,201408,1,201408,2015,BIO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Biology
11,201508,2,201408,2016,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201601,3,201408,2016,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201605,4,201408,2016,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201608,5,201408,2017,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201701,6,201408,2017,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201708,7,201408,2018,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201801,8,201408,2018,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
11,201805,9,201408,2018,GEO,BIO,"('UGIS', 'GEO')","('Z', 'B')","('Awarded', 'Awarded')","('12/21/2018', '8/7/2018')",2018-08-07,US,73.0,1,201805,Geosciences
12,201108,1,201101,2012,BIO,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Biology
12,201201,2,201101,2012,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
12,201208,3,201101,2013,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
12,201301,4,201101,2013,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
12,201401,5,201101,2014,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
12,201408,6,201101,2015,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
12,201501,7,201101,2015,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
12,201505,8,201101,2015,CHM,BIO,"('CHM',)","('B',)","('Awarded',)","('8/11/2015',)",2015-08-11,US,97.0,1,201505,Chemistry
13,201205,1,201205,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,52.63,1,201205,Psychology
14,201108,1,201108,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,39.31,1,201708,Psychology
14,201201,2,201108,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,45.97,1,201708,Psychology
14,201208,3,201108,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,45.97,1,201708,Psychology
14,201301,4,201108,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,45.97,1,201708,Psychology
14,201708,5,201108,2018,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,45.97,1,201708,Psychology
15,201108,1,201108,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,66.0,1,201108,Psychology
16,201401,1,201401,2014,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/8/2016',)",2016-01-08,US,78.0,1,201508,Psychology
16,201405,2,201401,2014,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/8/2016',)",2016-01-08,US,84.0,1,201508,Psychology
16,201408,3,201401,2015,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/8/2016',)",2016-01-08,US,84.0,1,201508,Psychology
16,201501,4,201401,2015,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/8/2016',)",2016-01-08,US,84.0,1,201508,Psychology
16,201505,5,201401,2015,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/8/2016',)",2016-01-08,US,84.0,1,201508,Psychology
16,201508,6,201401,2016,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/8/2016',)",2016-01-08,US,84.0,1,201508,Psychology
17,202301,1,201105,2023,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,70.18,1,202301,Other
18,201108,1,201008,2012,PSY,PSY,"('PSY', 'SW')","('B', 'M')","('Awarded', 'Awarded')","('5/17/2013', '5/13/2022')",2013-05-17,US,77.0,1,201301,Psychology
18,201201,2,201008,2012,PSY,PSY,"('PSY', 'SW')","('B', 'M')","('Awarded', 'Awarded')","('5/17/2013', '5/13/2022')",2013-05-17,US,77.0,1,201301,Psychology
18,201301,3,201008,2013,PSY,PSY,"('PSY', 'SW')","('B', 'M')","('Awarded', 'Awarded')","('5/17/2013', '5/13/2022')",2013-05-17,US,77.0,1,201301,Psychology
19,202005,1,202005,2020,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,,0,202005,Other
20,201205,1,201205,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,135.0,1,201301,Biology
20,201208,2,201205,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,135.0,1,201301,Biology
20,201301,3,201205,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,135.0,1,201301,Biology
21,201108,1,201108,2012,BIO,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,91.0,1,201808,Biology
21,201201,2,201108,2012,BIO,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,91.0,1,201808,Biology
21,201208,3,201108,2013,BIO,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,91.0,1,201808,Biology
21,201301,4,201108,2013,BIO,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,91.0,1,201808,Biology
21,201305,5,201108,2013,BIO,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,91.0,1,201808,Biology
21,201308,6,201108,2014,BIO,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,91.0,1,201808,Biology
21,201605,7,201108,2016,AC,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
21,201608,8,201108,2017,AC,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
21,201705,9,201108,2017,FI,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
21,201708,10,201108,2018,FI,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
21,201801,11,201108,2018,FI,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
21,201805,12,201108,2018,EC,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
21,201808,13,201108,2019,EC,BIO,"('EC',)","('B',)","('Awarded',)","('12/21/2018',)",2018-12-21,US,,1,201808,Other
22,201108,1,201108,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201201,2,201108,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201205,3,201108,2012,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201208,4,201108,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201301,5,201108,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201305,6,201108,2013,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201308,7,201108,2014,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201401,8,201108,2014,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201405,9,201108,2014,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
22,201408,10,201108,2015,PSY,PSY,"(nan,)","(nan,)","(nan,)","(nan,)",,US,138.0,1,201408,Psychology
23,201601,1,201601,2016,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,148.0,1,202401,Biology
23,201605,2,201601,2016,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201608,3,201601,2017,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201701,4,201601,2017,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201705,5,201601,2017,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201708,6,201601,2018,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201801,7,201601,2018,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201805,8,201601,2018,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201808,9,201601,2019,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201901,10,201601,2019,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201905,11,201601,2019,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,201908,12,201601,2020,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202001,13,201601,2020,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202005,14,201601,2020,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202008,15,201601,2021,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202101,16,201601,2021,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202105,17,201601,2021,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202108,18,201601,2022,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202201,19,201601,2022,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202208,20,201601,2023,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
23,202301,21,201601,2023,BIO,BIO,"('IDS',)","('B',)","('Awarded',)","('5/10/2024',)",2024-05-10,US,103.0,1,202401,Biology
24,201108,1,201108,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,143.0,1,201301,Biology
24,201201,2,201108,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,143.0,1,201301,Biology
24,201205,3,201108,2012,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,143.0,1,201301,Biology
24,201301,4,201108,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,143.0,1,201301,Biology
25,201108,1,201008,2012,MGRS,BIO,"('MGRS',)","('B',)","('Awarded',)","('5/17/2013',)",2013-05-17,US,76.0,1,201301,Other
25,201201,2,201008,2012,MGRS,BIO,"('MGRS',)","('B',)","('Awarded',)","('5/17/2013',)",2013-05-17,US,76.0,1,201301,Other
25,201205,3,201008,2012,MGRS,BIO,"('MGRS',)","('B',)","('Awarded',)","('5/17/2013',)",2013-05-17,US,76.0,1,201301,Other
25,201301,4,201008,2013,MGRS,BIO,"('MGRS',)","('B',)","('Awarded',)","('5/17/2013',)",2013-05-17,US,76.0,1,201301,Other
26,201208,1,201208,2013,CHM,CHM,"('CHM',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,131.0,1,201308,Chemistry
26,201301,2,201208,2013,CHM,CHM,"('CHM',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,131.0,1,201308,Chemistry
26,201308,3,201208,2014,CHM,CHM,"('CHM',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,131.0,1,201308,Chemistry
27,201208,1,201208,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201301,2,201208,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201305,3,201208,2013,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201308,4,201208,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201401,5,201208,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201405,6,201208,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201408,7,201208,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
27,201501,8,201208,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,29.32,1,201501,Biology
28,201401,1,201401,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201405,2,201401,2014,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201408,3,201401,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201501,4,201401,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201505,5,201401,2015,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201508,6,201401,2016,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201601,7,201401,2016,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201605,8,201401,2016,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
28,201608,9,201401,2017,BIO,BIO,"(nan,)","(nan,)","(nan,)","(nan,)",,US,193.0,1,201608,Biology
29,201308,1,201308,2014,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201401,2,201308,2014,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201408,3,201308,2015,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201501,4,201308,2015,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201508,5,201308,2016,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201601,6,201308,2016,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201608,7,201308,2017,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201701,8,201308,2017,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201705,9,201308,2017,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201708,10,201308,2018,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201801,11,201308,2018,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
29,201805,12,201308,2018,BIO,BIO,"('BIO',)","('B',)","('Awarded',)","('8/7/2018',)",2018-08-07,US,58.0,1,201805,Biology
30,201208,1,201208,2013,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201301,2,201208,2013,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201308,3,201208,2014,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201401,4,201208,2014,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201408,5,201208,2015,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201501,6,201208,2015,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201505,7,201208,2015,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201508,8,201208,2016,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201605,9,201208,2016,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201905,10,201208,2019,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,201908,11,201208,2020,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
30,202001,12,201208,2020,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('5/15/2020',)",2020-05-15,US,37.0,1,202001,Psychology
31,201108,1,201101,2012,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
31,201201,2,201101,2012,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
31,201205,3,201101,2012,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
31,201208,4,201101,2013,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
31,201301,5,201101,2013,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
31,201305,6,201101,2013,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
31,201308,7,201101,2014,PSY,PSY,"('PSY',)","('B',)","('Awarded',)","('1/10/2014',)",2014-01-10,US,62.0,1,201308,Psychology
32,201108,1,201108,2012,BIO,BIO,"('NEUR',)","('B',)","('Awarded',)","('1/9/2015',)",2015-01-09,US,59.0,1,201408,Biology
32,201201,2,201108,2012,BIO,BIO,"('NEUR',)","('B',)","('Awarded',)","('1/9/2015',)",2015-01-09,US,59.0,1,201408,Biology
32,201208,3,201108,2013,NEUR,BIO,"('NEUR',)","('B',)","('Awarded',)","('1/9/2015',)",2015-01-09,US,59.0,1,201408,Neuroscience
32,201301,4,201108,2013,NEUR,BIO,"('NEUR',)","('B',)","('Awarded',)","('1/9/2015',)",2015-01-09,US,59.0,1,201408,Neuroscience
32,201308,5,201108,2014,NEUR,BIO,"('NEUR',)","('B',)","('Awarded',)","('1/9/2015',)",2015-01-09,US,59.0,1,201408,Neuroscience
32,201401,6,201108,2014,NEUR,BIO,"('NEUR',)","('B',)","('Awarded',)","('1/9/2015',)",2015-01-09,US,59.0,1,201408,Neuroscience
